               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.056926,            0.064439,            0.012806,             0.84441,             0.77051,             0.81422,             0.46515,            0.054174,             0.06572,            0.012236,            0.003268,            0.003268,            0.003268
                  70,            0.056839,            0.064623,            0.012794,             0.84466,             0.77038,             0.81728,             0.46681,            0.054106,            0.065517,            0.012194,            0.003169,            0.003169,            0.003169
                  70,             0.05705,            0.064777,            0.012811,             0.84514,             0.77024,             0.81449,             0.46594,            0.054159,            0.065692,            0.012233,            0.003169,            0.003169,            0.003169
                  71,            0.056938,              0.0643,            0.012756,             0.84369,             0.77129,              0.8176,             0.46669,            0.054088,            0.065492,             0.01219,             0.00307,             0.00307,             0.00307
                  71,            0.057062,            0.064579,            0.012849,             0.84557,             0.77003,             0.81509,             0.46628,            0.054141,             0.06567,            0.012229,             0.00307,             0.00307,             0.00307
                  72,            0.056656,            0.065091,            0.012732,             0.84465,             0.77178,              0.8171,             0.46704,            0.054075,            0.065483,            0.012188,            0.002971,            0.002971,            0.002971
                  72,            0.056849,            0.064046,            0.012748,             0.84576,             0.77104,             0.81531,             0.46653,            0.054123,            0.065651,            0.012224,            0.002971,            0.002971,            0.002971
                  73,            0.056769,            0.064805,            0.012754,             0.84516,              0.7719,             0.81737,             0.46722,            0.054061,            0.065473,            0.012187,            0.002872,            0.002872,            0.002872
                  73,            0.056733,            0.064053,            0.012751,             0.84592,             0.77191,             0.81563,             0.46701,            0.054108,            0.065624,            0.012221,            0.002872,            0.002872,            0.002872
                  74,            0.056455,             0.06364,            0.012645,              0.8446,              0.7722,             0.81776,              0.4674,            0.054046,            0.065459,            0.012184,            0.002773,            0.002773,            0.002773
                  74,            0.056586,            0.064476,            0.012683,             0.84533,             0.77251,             0.81597,             0.46743,            0.054095,            0.065617,            0.012217,            0.002773,            0.002773,            0.002773
                  75,            0.056488,            0.063723,            0.012659,             0.84441,             0.77296,             0.81824,             0.46783,             0.05403,            0.065435,             0.01218,            0.002674,            0.002674,            0.002674
                  75,            0.056567,            0.064289,             0.01268,             0.84584,             0.77288,             0.81647,              0.4679,            0.054081,            0.065603,            0.012213,            0.002674,            0.002674,            0.002674
                  76,            0.056437,             0.06377,            0.012595,             0.84577,             0.77179,             0.81785,             0.46779,            0.054018,            0.065412,            0.012177,            0.002575,            0.002575,            0.002575
                  76,             0.05651,            0.064096,            0.012691,             0.84651,              0.7735,             0.81713,             0.46782,            0.054068,            0.065579,             0.01221,            0.002575,            0.002575,            0.002575
                  77,            0.056244,             0.06378,            0.012547,             0.84508,             0.77184,             0.81813,             0.46842,            0.054007,            0.065409,            0.012173,            0.002476,            0.002476,            0.002476
                  77,             0.05645,            0.063732,            0.012651,             0.84627,             0.77422,             0.81745,             0.46837,            0.054058,            0.065575,            0.012206,            0.002476,            0.002476,            0.002476
                  78,            0.056212,            0.063455,            0.012576,             0.84588,             0.77162,             0.81835,             0.46851,            0.053995,            0.065382,             0.01217,            0.002377,            0.002377,            0.002377
                  78,            0.056383,            0.064104,            0.012596,             0.84674,             0.77398,             0.81774,             0.46834,            0.054047,             0.06554,            0.012203,            0.002377,            0.002377,            0.002377
                  79,              0.0562,             0.06325,             0.01251,              0.8459,             0.77131,             0.81855,             0.46848,            0.053983,            0.065368,            0.012167,            0.002278,            0.002278,            0.002278
                  79,            0.056155,            0.063423,            0.012555,             0.84597,             0.77396,             0.81783,             0.46829,            0.054037,            0.065547,              0.0122,            0.002278,            0.002278,            0.002278
                  80,             0.05602,            0.063997,            0.012513,             0.84602,             0.77051,             0.81834,             0.46867,            0.053971,             0.06537,            0.012164,            0.002179,            0.002179,            0.002179
                  80,            0.056125,            0.063783,             0.01251,             0.84464,             0.77525,             0.81811,             0.46865,            0.054028,            0.065532,            0.012197,            0.002179,            0.002179,            0.002179
                  81,            0.055976,            0.063246,            0.012487,             0.84762,             0.77031,              0.8191,             0.46886,             0.05396,            0.065353,            0.012161,             0.00208,             0.00208,             0.00208
                  81,            0.056215,            0.063687,            0.012513,             0.84874,             0.77165,             0.81798,             0.46889,            0.054019,            0.065521,            0.012194,             0.00208,             0.00208,             0.00208
                  82,            0.055997,            0.063109,            0.012521,             0.84816,              0.7707,             0.81925,             0.46935,            0.053948,             0.06533,            0.012158,            0.001981,            0.001981,            0.001981
                  82,            0.056234,            0.063549,            0.012552,             0.85112,             0.77086,             0.81864,             0.46959,            0.054009,            0.065491,            0.012191,            0.001981,            0.001981,            0.001981
                  83,            0.055866,            0.063279,            0.012446,             0.84901,             0.77038,             0.81987,             0.46983,            0.053937,            0.065317,            0.012156,            0.001882,            0.001882,            0.001882
                  83,              0.0559,            0.063483,            0.012446,             0.84986,              0.7707,             0.81813,             0.46967,               0.054,            0.065482,            0.012188,            0.001882,            0.001882,            0.001882
                  84,            0.055748,            0.062887,            0.012407,             0.84774,              0.7729,             0.82077,             0.47011,            0.053927,            0.065294,            0.012153,            0.001783,            0.001783,            0.001783
                  84,            0.055808,            0.062751,            0.012403,             0.84868,             0.77179,             0.81832,             0.46995,            0.053989,            0.065471,            0.012185,            0.001783,            0.001783,            0.001783
                  85,             0.05558,            0.062673,            0.012387,             0.84704,             0.77306,             0.82059,             0.47035,            0.053917,             0.06528,            0.012151,            0.001684,            0.001684,            0.001684
                  85,            0.055713,            0.062986,            0.012388,             0.84892,               0.773,             0.81869,             0.47007,            0.053979,            0.065454,            0.012181,            0.001684,            0.001684,            0.001684
                  86,            0.055703,            0.062658,            0.012403,             0.84684,             0.77352,             0.82092,             0.47071,            0.053905,            0.065275,            0.012148,            0.001585,            0.001585,            0.001585
                  86,            0.055707,            0.063176,             0.01237,             0.84911,             0.77275,             0.81888,             0.47038,            0.053968,            0.065436,            0.012177,            0.001585,            0.001585,            0.001585
